t_0,t_1,t_2
41.55401600000002,-1.0,16.99065300000001
40.865072000000026,-1.0,15.989183999999995
40.030211500000036,-1.0,15.133631499999979
38.981462875000034,-1.0,14.491967124999974
37.77229815625003,-1.0,14.01071884374997
36.407462437500016,-1.0,13.685141562499979
34.934100958333346,-1.0,13.468090041666642
33.38838897222223,-1.0,13.32338902777775
31.794443314814828,-1.0,11.305156685185182
28.24657687654323,-1.0,8.518025123456766
21.97589043827162,-1.0,11.053713561728378
17.86633177160494,-1.0,14.497335561728384
17.52221318106995,-1.0,10.840957561728395
17.317998368312743,-1.0,5.303206374485594
10.265311974622756,-1.0,4.136537187242798
6.8181415809327675,-1.0,6.335434000000012
5.180962790466381,-1.0,11.248476000000014
6.962373395233193,-1.0,16.16151800000001
11.964965395233191,-1.0,19.973113000000012
19.567557395233194,-1.0,18.61914250000001
25.93308589523319,-1.0,11.40223550000001
25.1986143952332,-1.0,6.452341000000004
18.6554848952332,-1.0,4.711104500000005
12.2171520134888,-1.0,6.440486250000005
7.827941881744394,-1.0,11.353528250000005
8.2858629408722,-1.0,16.266570250000008
12.226991749999994,-1.0,-1.0
18.94851916666667,-1.0,12.881654833333336
21.312400000000004,-1.0,14.687376
-1.0,-1.0,18.687387
20.540752000000005,-1.0,20.087398
25.098808000000005,-1.0,19.085929
29.656864000000006,-1.0,18.08446
31.614920000000005,-1.0,17.082991000000007
30.97297600000001,-1.0,16.081522000000007
30.161200000000008,-1.0,15.202885000000009
29.129764750000007,-1.0,14.543907250000018
27.933585062500015,-1.0,14.049673937500017
26.581734375000025,-1.0,13.711111625000001
25.117029583333363,-1.0,13.485403416666657
23.577088722222243,-1.0,13.33493127777777
21.986990481481513,-1.0,13.234616518518493
20.36345398765434,-1.0,13.16774001234566
18.717625325102887,-1.0,13.123155674897106
17.187393216735273,-1.0,13.093432783264717
16.037242227823498,-1.0,9.755241188843172
11.854601381049008,-1.0,5.242031014784345
6.646007867607835,-1.0,7.826886219363246
8.529841956456124,-1.0,-1.0
6.023640756720567,-1.0,-1.0
